method,shape_score_threshold,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,present_dominant_found_rate,small_n,small_lesionwise_mean,small_dominant_found_rate,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_dominant_found_rate,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_dominant_found_rate,large_lesion_tp,large_lesion_fn,large_lesion_fp,large_detection_ratio,keeps_large_detection_90pct
variational_spline,0.005,100,33,0.7575757575757576,15371.0,29469,0.40298507462686567,31,0.0005591394874500111,0.06451612903225806,2,64,23,19,0.019028270637806457,0.5789473684210527,11,44,6,17,0.17623802869724492,0.8235294117647058,14,45,3,1.0000000000000002,True
variational_spline,0.01,100,33,0.7575757575757576,15371.0,29469,0.40298507462686567,31,0.0005591394874500111,0.06451612903225806,2,64,23,19,0.019028270637806457,0.5789473684210527,11,44,6,17,0.17623802869724492,0.8235294117647058,14,45,3,1.0000000000000002,True
variational_spline,0.02,100,33,0.7272727272727273,14118.0,29469,0.373134328358209,31,0.0005591394874500111,0.06451612903225806,2,64,21,19,0.01743069822566069,0.5263157894736842,10,45,6,17,0.16322056711685626,0.7647058823529411,13,46,3,0.9261370450145523,True
variational_spline,0.05,100,33,0.45454545454545453,0.0,21010,0.22388059701492538,31,0.0,0.0,0,66,16,19,0.016569283601711504,0.3157894736842105,6,49,4,17,0.13638555663911736,0.5294117647058824,9,50,2,0.7738713241817454,False
variational_spline,0.1,100,33,0.06060606060606061,0.0,13041,0.13432835820895522,31,0.0,0.0,0,66,10,19,0.01635687734922517,0.15789473684210525,3,52,3,17,0.11524268064428778,0.35294117647058826,6,53,1,0.6539035955869685,False
variational_spline,0.2,100,33,0.0,0.0,0,0.08955223880597014,31,0.0,0.0,0,66,3,19,0.0008372282119173752,0.05263157894736842,1,54,2,17,0.11135939201887916,0.29411764705882354,5,54,0,0.6318692556995222,False
variational_spline,0.3,100,33,0.0,0.0,0,0.08955223880597014,31,0.0,0.0,0,66,1,19,0.0008372282119173752,0.05263157894736842,1,54,0,17,0.11135939201887916,0.29411764705882354,5,54,0,0.6318692556995222,False
variational_spline,0.4,100,33,0.0,0.0,0,0.08955223880597014,31,0.0,0.0,0,66,1,19,0.0008372282119173752,0.05263157894736842,1,54,0,17,0.11135939201887916,0.29411764705882354,5,54,0,0.6318692556995222,False
variational_spline,0.5,100,33,0.0,0.0,0,0.08955223880597014,31,0.0,0.0,0,66,0,19,0.0008372282119173752,0.05263157894736842,1,54,0,17,0.11135939201887916,0.29411764705882354,5,54,0,0.6318692556995222,False
variational_spline,0.55,100,33,0.0,0.0,0,0.07462686567164178,31,0.0,0.0,0,66,0,19,0.0,0.0,0,55,0,17,0.11135939201887916,0.29411764705882354,5,54,0,0.6318692556995222,False
