case_id,method,dice_recomputed,dice_csv,dice_abs_diff,jaccard_recomputed,jaccard_csv,jaccard_abs_diff,vol_gt_recomputed,vol_gt_csv,vol_pred_recomputed,vol_pred_csv
BraTS-GLI-02108-100,spline,0.3708674660485821,0.3709,3.253395141789017e-05,0.22764720384599582,0.2276,4.720384599582461e-05,96643,96643,22866,22866
BraTS-GLI-02108-100,sustraccion,0.7917851534315182,0.7918,1.4846568481718947e-05,0.655334732626661,0.6553,3.4732626660982646e-05,96643,96643,91845,91845
BraTS-GLI-02108-100,variational_spline,0.859488320355951,0.8595,1.1679644049022997e-05,0.7535988764483283,0.7536,1.1235516717000849e-06,96643,96643,83157,83157
BraTS-GLI-02116-100,bspline,0.4480915961278499,0.4481,8.403872150120062e-06,0.28873585258628753,0.2887,3.5852586287521415e-05,72635,72635,37588,37588
BraTS-GLI-02116-100,fast_marching,0.14455054329930853,0.1446,4.945670069148034e-05,0.07790594498669033,0.0779,5.944986690334386e-06,72635,72635,6327,6327
BraTS-GLI-02116-100,gmm_2d,0.8281938891420284,0.8282,6.110857971641792e-06,0.7067669996494917,0.7068,3.3000350508238796e-05,72635,72635,83186,83186
BraTS-GLI-02116-100,gmm_T1c,0.4480111780503738,0.448,1.1178050373816806e-05,0.2886690752627825,0.2887,3.0924737217497e-05,72635,72635,37581,37581
BraTS-GLI-02116-100,level_set,0.4480915961278499,0.4481,8.403872150120062e-06,0.28873585258628753,0.2887,3.5852586287521415e-05,72635,72635,37588,37588
BraTS-GLI-02116-100,otsu_T1c,0.3627637294446168,0.3628,3.6270555383188796e-05,0.2215707872887278,0.2216,2.9212711272180725e-05,72635,72635,30501,30501
BraTS-GLI-02116-100,rango_doble,0.32501807476450795,0.325,1.8074764507935992e-05,0.19404273554701934,0.194,4.2735547019334685e-05,72635,72635,311879,311879
BraTS-GLI-02116-100,spline,0.3694402936427547,0.3694,4.029364275470737e-05,0.2265726867911531,0.2266,2.7313208846885262e-05,72635,72635,27078,27078
BraTS-GLI-02116-100,sustraccion,0.7553108386676793,0.7553,1.0838667679369252e-05,0.6068268786555442,0.6068,2.687865554418245e-05,72635,72635,111705,111705
BraTS-GLI-02116-100,variational_spline,0.4480915961278499,0.4481,8.403872150120062e-06,0.28873585258628753,0.2887,3.5852586287521415e-05,72635,72635,37588,37588
BraTS-GLI-02118-100,bspline,0.793661800017977,0.7937,3.819998202292396e-05,0.657909863112852,0.6579,9.863112852004363e-06,45844,45844,32033,32033
BraTS-GLI-02118-100,fast_marching,0.1835623439680761,0.1836,3.765603192390499e-05,0.10105623133197697,0.1011,4.376866802302537e-05,45844,45844,5027,5027
BraTS-GLI-02118-100,gmm_2d,0.42026369919692325,0.4203,3.630080307676087e-05,0.26603408365261816,0.266,3.408365261814428e-05,45844,45844,81043,81043
BraTS-GLI-02118-100,gmm_T1c,0.7825842169466078,0.7826,1.5783053392115498e-05,0.6428241097579775,0.6428,2.4109757977508472e-05,45844,45844,50069,50069
BraTS-GLI-02118-100,level_set,0.7732177392464155,0.7732,1.7739246415460208e-05,0.6302811541890452,0.6303,1.8845810954792874e-05,45844,45844,29131,29131
BraTS-GLI-02118-100,otsu_T1c,0.7265530408866536,0.7266,4.6959113346400905e-05,0.5705404812404008,0.5705,4.0481240400791485e-05,45844,45844,40052,40052
BraTS-GLI-02118-100,rango_doble,0.23779357091382758,0.2378,6.429086172432541e-06,0.13494081453166654,0.1349,4.081453166654425e-05,45844,45844,285805,285805
BraTS-GLI-02118-100,spline,0.7951895549149554,0.7952,1.0445085044663571e-05,0.6600121688510302,0.66,1.2168851030169847e-05,45844,45844,55103,55103
