prior_stage,method,construction_type,mode,threshold,absent_flood_rate,absent_median_fp_vox,large_lesionwise,large_detection_ratio,keeps_large_detection_90pct,source
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.005,0.9696969696969696,18837.0,0.1706676623760037,0.9683929378782924,True,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.01,0.9696969696969696,18837.0,0.1706676623760037,0.9683929378782924,True,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.02,0.9090909090909092,18512.0,0.128672032707768,0.7301036765953086,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.05,0.6363636363636364,13041.0,0.0811035060049856,0.4601929935582258,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.1,0.2424242424242424,0.0,0.0799751172170919,0.4537903527874753,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.2,0.1818181818181818,0.0,0.0649863139671437,0.3687417207711863,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.3,0.1212121212121212,0.0,0.0143111216671326,0.0812033689489196,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.4,0.0606060606060606,0.0,0.0143111216671326,0.0812033689489196,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.5,0.0303030303030303,0.0,0.0143111216671326,0.0812033689489196,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,gmm_T1c,intensity/statistical,shape_score_threshold,0.55,0.0303030303030303,0.0,0.0143111216671326,0.0812033689489196,False,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.0,0.9393939393939394,13935.0,0.1650376673385514,0.9364475338184004,True,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.001,0.9090909090909092,13855.0,0.1650376673385514,0.9364475338184004,True,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
P2b_soft_shape,otsu_T1c,intensity/statistical,shape_score_threshold,0.005,0.8181818181818182,13813.0,0.1650376673385514,0.9364475338184004,True,phase2/p2_soft_shape_sweep/p2_soft_shape_sweep_summary.csv
